TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
63.34,0,11,2,46.0,0,165.0,1.0,11174.94,6
317.87,1,11,2,27.0,3,91.0,1.0,145.5,3
331.65,1,32,2,41.0,1,61.0,1.0,4172.57,4
5.04,1,42,0,56.0,2,41.0,1.0,5558.36,0
214.54,0,11,2,70.0,0,247.0,1.0,11151.53,1
598.81,1,30,1,57.0,0,158.0,1.0,1415.52,4
841.28,1,40,2,26.0,3,80.0,1.0,1103.64,5
38.15,1,23,2,26.0,3,108.0,1.0,303.68,5
1036.66,1,35,1,58.0,0,144.0,1.0,5541.57,4
124.72,1,28,1,33.0,1,105.0,1.0,6309.8,4
302.45,0,35,1,78.0,2,40.0,1.0,5133.61,4
208.04,1,21,2,47.0,1,273.0,1.0,9344.98,1
5.77,0,20,1,23.0,3,254.0,1.0,1117.97,3
381.33,1,0,0,56.0,0,75.0,1.0,11835.35,6
16.16,1,25,0,50.0,0,124.0,1.0,14401.17,6
486.08,1,28,2,18.0,3,68.0,1.0,1748.69,5
336.39,1,35,1,21.0,3,18.0,1.0,1000.46,5
997.43,1,39,2,69.0,0,118.0,1.0,6810.05,4
234.57,1,6,2,23.0,3,120.0,1.0,263.98,3
6.0,1,6,2,30.0,0,246.0,1.0,5442.76,1
1049.92,1,11,0,80.0,2,21.0,1.0,2037.85,0
227.14,1,5,0,18.0,3,294.0,1.0,341.94,3
233.74,0,28,2,66.0,2,17.0,1.0,1066.59,4
,0,17,1,69.0,2,166.0,1.0,6077.96,2
45.85,1,20,0,20.0,3,92.0,1.0,1659.15,5
973.39,1,34,1,77.0,2,296.0,1.0,2042.22,1
,1,27,2,41.0,0,142.0,5.0,421.93,4
415.5,1,22,0,66.0,0,141.0,1.0,10113.66,6
265.76,1,30,2,54.0,2,92.0,1.0,4446.17,4
69.4,1,41,2,80.0,2,113.0,1.0,6452.77,4
332.93,0,0,1,35.0,1,293.0,1.0,2788.2,1
267.9,1,35,2,20.0,3,160.0,1.0,596.16,5
496.03,1,37,1,61.0,0,265.0,1.0,12904.66,1
376.26,1,40,0,37.0,1,245.0,1.0,9062.4,1
83.02,0,39,2,36.0,1,171.0,1.0,9009.56,4
93.26,0,27,2,20.0,3,72.0,1.0,1152.2,5
803.37,0,22,1,68.0,0,129.0,1.0,12168.37,6
35.76,1,5,1,23.0,3,122.0,1.0,611.86,3
28.53,1,42,2,62.0,0,99.0,1.0,8670.53,4
139.53,0,21,2,53.0,0,177.0,1.0,10098.86,6
307.57,1,11,1,33.0,0,285.0,1.0,5307.74,1
60.65,0,40,1,56.0,2,53.0,1.0,1047.28,4
74.86,1,26,1,70.0,0,125.0,1.0,6921.48,6
,1,18,1,51.0,2,137.0,1.0,1475.46,2
231.91,1,22,0,34.0,1,165.0,1.0,112.76,0
126.21,1,3,1,75.0,2,268.0,1.0,5669.66,1
506.28,0,6,2,53.0,2,162.0,2.0,1309.95,2
304.35,1,15,1,31.0,1,36.0,1.0,4057.1,2
281.85,1,11,0,22.0,3,109.0,1.0,1585.98,3
777.88,1,15,1,31.0,1,17.0,1.0,6825.55,6
119.18,1,20,1,56.0,2,96.0,1.0,5516.5,2
177.19,1,6,2,76.0,2,43.0,1.0,5343.3,2
260.88,1,10,1,22.0,3,36.0,1.0,903.05,3
169.47,1,6,2,24.0,3,19.0,1.0,1806.16,3
73.23,1,32,1,26.0,3,14.0,1.0,787.74,5
1362.55,1,12,0,29.0,1,106.0,1.0,2429.68,0
792.57,1,3,0,19.0,3,164.0,1.0,770.37,3
237.06,1,31,2,71.0,2,46.0,1.0,1182.77,4
34.17,0,30,2,54.0,1,54.0,1.0,726.55,4
740.25,1,30,2,41.0,0,123.0,1.0,14464.3,6
453.54,1,0,0,58.0,0,82.0,1.0,12046.3,6
300.47,1,17,1,73.0,2,100.0,1.0,7885.64,2
110.93,0,41,1,19.0,3,201.0,1.0,1952.35,5
201.69,1,19,0,59.0,0,299.0,1.0,7328.52,1
399.21,1,32,0,59.0,1,109.0,1.0,3210.39,0
1041.88,1,17,2,78.0,2,57.0,1.0,5726.2,2
630.36,1,23,0,62.0,2,52.0,1.0,1363.65,0
10.94,0,30,0,60.0,1,245.0,1.0,1241.99,1
215.9,1,20,0,38.0,0,235.0,1.0,7873.28,1
1422.55,1,42,1,79.0,2,165.0,1.0,5674.32,4
226.37,2,21,1,49.0,0,141.0,1.0,9840.04,6
444.89,0,19,1,43.0,0,101.0,1.0,10328.23,6
280.57,0,41,2,25.0,3,24.0,1.0,293.24,5
488.54,1,17,1,52.0,1,132.0,1.0,7486.63,2
3.3,0,20,1,50.0,0,131.0,1.0,11385.37,6
199.39,2,7,1,69.0,2,165.0,1.0,7264.79,2
20.36,1,40,1,62.0,2,75.0,1.0,2762.48,4
113.64,1,11,2,45.0,2,32.0,1.0,6675.03,2
493.11,1,7,1,53.0,2,236.0,1.0,7432.99,1
307.41,1,20,0,19.0,3,14.0,1.0,1057.0,5
11.18,1,1,2,43.0,0,161.0,1.0,5956.89,2
313.82,1,40,1,59.0,1,151.0,1.0,7261.59,4
51.0,1,39,1,64.0,2,107.0,1.0,4943.16,4
140.98,1,22,1,60.0,1,100.0,1.0,8127.48,6
288.04,1,10,0,68.0,2,63.0,1.0,1748.02,0
800.55,1,28,0,31.0,1,108.0,1.0,9660.22,6
485.54,1,15,0,46.0,1,143.0,1.0,6371.51,0
521.15,1,18,0,54.0,0,214.0,1.0,9442.47,1
321.79,0,33,0,63.0,2,112.5,1.0,5959.2,0
304.93,1,32,0,65.0,0,158.0,1.0,13531.22,6
432.08,2,12,0,40.0,0,145.0,1.0,11500.62,6
694.2,1,25,0,61.0,2,72.0,1.0,1389.37,0
116.86,1,21,0,55.0,1,171.0,1.0,6706.56,0
,0,11,3,57.0,0,149.0,1.0,7175.29,2
74.88,1,1,0,25.0,3,202.0,1.0,420.67,3
,1,30,1,75.0,2,99.0,1.0,7323.53,4
134.7,1,13,0,50.0,0,106.0,1.0,8395.85,6
890.24,0,19,2,33.0,1,161.0,1.0,5140.93,4
361.27,1,29,0,63.0,0,180.0,1.0,7945.57,1
131.56,1,5,1,44.0,0,42.0,1.0,5873.54,2
485.51,0,25,2,76.0,2,37.0,1.0,3074.45,4
547.87,1,8,0,64.0,2,131.0,1.0,6155.76,0
457.3,1,41,2,28.0,1,15.0,1.0,8318.29,4
506.24,1,6,0,58.0,1,64.0,1.0,230.09,0
486.59,1,16,1,57.0,2,119.0,1.0,2513.56,2
163.68,1,36,1,41.0,0,292.0,1.0,10090.05,1
581.65,1,4,0,22.0,3,176.0,1.0,480.19,3
52.01,1,23,0,48.0,0,85.0,1.0,1120.88,0
630.24,1,4,0,21.0,3,62.0,1.0,370.81,3
523.74,1,28,0,43.0,0,159.0,1.0,13498.55,6
705.6,1,31,1,40.0,0,124.0,3.0,14804.7,6
217.5,0,10,1,46.0,1,35.0,1.0,3057.4,2
91.48,1,13,0,51.0,0,141.0,1.0,14942.78,6
5.25,1,38,0,39.0,0,49.0,1.0,14143.32,6
54.03,0,25,0,56.0,2,161.0,1.0,6736.3,0
736.73,1,22,1,48.0,1,10.0,1.0,3313.07,4
368.91,2,41,1,54.0,0,14.0,1.0,829.71,4
33.06,0,13,2,53.0,2,170.0,1.0,1540.87,2
66.5,0,21,2,32.0,1,144.0,1.0,6820.23,2
177.08,1,19,3,35.0,0,85.0,1.0,13475.14,6
588.54,1,32,1,32.0,1,130.0,1.0,714.45,4
173.5,1,26,0,21.0,3,282.0,1.0,1306.91,5
78.33,0,22,2,56.0,1,189.0,1.0,7255.33,1
40.66,1,21,1,59.0,2,156.0,1.0,1153.84,2
97.22,0,1,1,77.0,2,55.0,1.0,6647.73,2
34.07,1,30,1,22.0,3,81.0,1.0,8709.77,5
492.06,1,14,2,23.0,3,74.0,1.0,857.9,3
842.01,0,41,2,53.0,0,185.0,1.0,509.45,4
73.55,1,1,0,51.0,1,158.0,1.0,2812.06,0
760.53,1,31,2,57.0,1,118.0,1.0,6179.91,4
273.08,0,15,1,45.0,1,134.0,1.0,6609.3,2
371.69,1,37,1,67.0,2,143.0,1.0,3484.32,4
218.96,1,39,0,18.0,3,13.0,1.0,754.21,5
227.39,1,1,2,18.0,3,65.0,1.0,751.09,3
237.99,0,18,1,39.0,0,86.0,1.0,8510.09,6
186.6,1,43,2,58.0,0,13.0,1.0,1508.72,4
341.15,1,38,2,18.0,3,148.0,1.0,511.37,5
434.58,1,22,0,59.0,0,215.0,1.0,12648.32,1
312.88,0,32,1,54.0,1,44.0,1.0,233.21,4
75.15,1,4,0,23.0,3,154.0,1.0,1092.92,3
23.3,1,20,0,59.0,1,161.0,1.0,6711.15,0
47.38,0,39,2,25.0,3,61.0,1.0,459.37,5
512.81,1,34,1,79.0,2,30.0,1.0,6994.34,4
488.15,1,21,1,43.0,1,168.0,1.0,7071.09,1
12.82,1,13,0,44.0,1,156.0,1.0,9045.19,0
66.9,0,5,2,79.0,2,129.0,4.0,5238.71,2
535.91,1,19,2,43.0,1,22.0,1.0,9642.12,6
270.72,0,42,2,26.0,1,53.0,1.0,6263.96,4
97.98,1,10,1,72.0,2,18.0,1.0,7460.33,2
196.08,1,37,2,61.0,2,98.0,1.0,4233.82,4
251.18,1,38,0,42.0,1,246.0,1.0,8303.9,1
44.52,1,12,2,28.0,3,205.0,1.0,314.28,3
178.87,1,3,2,35.0,0,180.0,1.0,5241.23,2
1176.28,0,18,0,54.0,1,174.0,5.0,323.69,0
386.68,1,27,1,46.0,0,128.0,1.0,6863.06,6
167.14,1,10,2,76.0,2,20.0,1.0,3877.73,2
345.22,1,14,1,69.0,2,253.0,1.0,4046.58,1
74.85,1,33,0,72.0,2,117.0,1.0,2409.73,0
671.73,1,42,1,58.0,1,54.0,1.0,5211.88,4
255.04,1,39,0,45.0,1,152.0,1.0,6217.86,0
45.77,1,30,2,25.0,3,109.0,1.0,5978.12,5
329.69,0,35,2,26.0,3,66.0,1.0,1671.66,5
362.04,0,30,1,58.0,0,198.0,2.0,8421.88,1
11.92,1,36,3,53.0,0,52.0,1.0,14611.9,6
47.42,1,36,0,64.0,0,28.0,1.0,8253.52,0
35.99,1,24,1,63.0,2,129.0,1.0,4489.79,4
151.19,0,27,1,37.0,0,96.0,1.0,11903.82,6
242.62,0,37,2,22.0,3,234.0,1.0,483.02,5
48.72,1,41,1,21.0,3,17.0,1.0,816.08,5
43.46,1,4,0,25.0,3,80.0,1.0,578.06,3
1036.21,1,29,2,25.0,3,126.0,1.0,477.3,5
443.79,1,19,0,53.0,2,87.0,1.0,3133.85,0
365.14,1,9,2,68.0,2,57.0,1.0,5894.09,2
757.41,1,20,0,22.0,3,37.0,1.0,9532.42,3
20.54,1,13,1,51.0,1,72.0,1.0,5327.03,2
475.36,1,31,0,34.0,1,105.0,1.0,2000.6,0
34.74,1,37,0,56.0,2,24.0,1.0,6827.57,0
689.54,1,28,1,27.0,3,93.0,1.0,1633.76,5
211.18,1,42,0,73.0,2,90.0,1.0,4069.17,0
211.36,0,13,1,51.0,1,286.0,1.0,7943.47,1
744.41,0,15,2,39.0,1,107.0,1.0,8842.47,2
61.43,1,31,2,24.0,3,170.0,1.0,1882.77,5
167.44,1,23,1,37.0,0,82.0,1.0,12526.71,6
361.46,1,26,2,21.0,3,83.0,1.0,4737.84,5
378.85,1,41,1,78.0,2,126.0,1.0,2300.53,4
241.11,1,8,1,30.0,0,55.0,1.0,12385.05,6
131.93,0,13,1,31.0,1,13.0,1.0,4547.06,2
20.28,1,28,2,36.0,1,213.0,1.0,2047.83,1
415.88,1,36,1,70.0,0,170.0,1.0,10008.33,6
49.99,1,29,0,62.0,2,112.5,1.0,2299.64,0
1221.65,1,10,2,27.0,3,153.0,1.0,243.92,3
100.66,1,9,1,50.0,0,144.0,1.0,14473.33,6
485.54,1,21,2,19.0,3,148.0,1.0,1533.32,3
321.15,1,20,1,46.0,0,179.0,1.0,7005.05,1
711.3,1,38,1,21.0,3,51.0,1.0,955.4,5
12.23,1,15,0,42.0,1,139.0,1.0,7844.88,0
350.94,1,7,0,20.0,3,64.0,1.0,221.56,3
301.85,1,8,2,54.0,1,25.0,1.0,6586.19,2
29.34,1,21,2,65.0,2,30.0,1.0,3944.82,2
231.71,1,33,1,27.0,3,148.0,1.0,1127.98,5
179.43,1,28,0,58.0,2,244.0,1.0,2626.63,1
36.71,1,17,1,48.0,0,55.0,1.0,6459.38,6
138.12,0,20,1,53.0,0,281.0,1.0,1649.69,1
233.24,1,21,0,33.0,1,72.0,1.0,6939.23,0
609.14,1,40,0,39.0,1,177.0,1.0,9033.87,1
436.64,1,20,1,31.0,0,111.0,1.0,14365.18,6
870.43,1,20,1,29.0,0,55.0,1.0,10115.18,6
354.4,1,6,0,74.0,2,128.0,1.0,7358.65,0
22.63,1,18,2,53.0,1,112.0,1.0,4438.03,2
182.19,1,23,1,26.0,3,53.0,1.0,1176.1,5
126.81,1,30,1,26.0,1,290.0,1.0,5427.98,1
288.17,1,41,2,37.0,1,50.0,1.0,3653.11,4
118.77,1,1,1,55.0,1,123.0,1.0,2104.82,2
651.82,1,16,0,21.0,3,166.0,1.0,1802.77,3
66.65,1,11,0,37.0,1,33.0,1.0,3559.96,0
98.53,1,10,1,69.0,2,166.0,1.0,3564.8,2
138.95,1,42,2,71.0,2,30.0,1.0,6752.92,4
33.89,1,26,1,26.0,3,177.0,1.0,1444.75,5
23.71,1,1,1,58.0,0,164.0,1.0,10788.89,6
1830.0,1,35,2,55.0,1,238.0,1.0,2235.7,4
26.06,1,36,0,65.0,0,283.0,1.0,12893.63,1
17.07,1,20,1,27.0,1,44.0,1.0,2798.15,2
703.89,1,35,2,46.0,1,62.0,1.0,3583.67,4
1271.9,1,15,0,47.0,1,155.0,1.0,2120.8,0
26.55,1,15,0,77.0,2,228.0,1.0,3085.38,1
147.4,1,38,1,42.0,1,259.0,1.0,6797.71,1
202.11,1,22,0,27.0,3,18.0,1.0,746.47,5
308.42,1,26,1,75.0,2,39.0,1.0,5427.81,4
11.18,1,24,0,53.0,1,144.0,1.0,7467.3,0
294.15,1,14,2,38.0,1,136.0,1.0,6362.16,2
29.58,1,7,1,54.0,1,112.5,1.0,8345.26,2
139.45,1,4,2,27.0,3,31.0,1.0,1305.76,3
432.63,1,7,0,29.0,0,137.0,1.0,13648.36,6
131.43,1,5,2,43.0,0,65.0,1.0,1337.5,2
516.72,1,23,0,42.0,1,128.0,1.0,2015.69,0
121.82,1,7,2,69.0,0,123.0,3.0,8354.54,2
374.5,0,37,1,26.0,3,178.0,1.0,1671.51,5
166.13,1,29,0,68.0,0,227.0,1.0,11822.53,1
626.9,1,6,0,23.0,3,146.0,1.0,587.11,3
466.85,1,2,1,56.0,2,165.0,1.0,5422.53,2
788.84,1,31,2,58.0,2,231.0,1.0,1913.73,4
873.65,0,28,2,37.0,0,59.0,1.0,12139.83,6
525.28,1,7,0,69.0,2,134.0,1.0,4693.6,0
110.17,2,33,0,30.0,1,137.0,1.0,464.2,0
632.69,1,10,0,80.0,2,76.0,1.0,4363.74,0
124.35,1,28,0,72.0,2,90.0,1.0,3319.76,0
43.85,1,14,0,62.0,2,122.0,1.0,4356.98,0
283.81,1,36,1,28.0,3,29.0,1.0,1519.35,5
168.53,1,37,0,71.0,2,112.0,1.0,5962.58,0
218.59,0,10,1,40.0,1,123.0,1.0,6699.23,2
132.84,1,28,0,21.0,3,143.0,1.0,822.73,5
157.37,0,9,1,42.0,0,289.0,1.0,13964.31,1
144.77,1,0,2,20.0,3,159.0,1.0,867.32,3
643.22,1,1,0,64.0,0,93.0,1.0,1035.86,0
1392.54,1,12,1,41.0,0,297.0,1.0,13347.69,1
208.07,1,28,2,32.0,0,36.0,1.0,8478.9,6
94.3,1,31,1,57.0,0,57.0,1.0,11088.95,6
295.5,1,23,0,59.0,2,36.0,1.0,6280.66,0
30.23,1,2,0,44.0,0,99.0,1.0,481.13,0
112.05,0,31,0,26.0,3,159.0,1.0,1122.88,5
180.24,1,31,1,58.0,1,144.0,1.0,8431.23,4
13.71,0,10,2,38.0,1,148.0,1.0,8342.79,2
96.54,1,27,1,58.0,2,95.0,1.0,7182.22,4
79.35,1,20,2,67.0,2,70.0,1.0,1692.15,2
101.04,1,35,0,27.0,3,160.0,1.0,1695.57,5
74.42,1,12,2,49.0,1,68.0,1.0,6264.21,2
39.66,1,41,1,52.0,1,169.0,1.0,8497.34,4
99.36,1,39,0,40.0,0,46.0,1.0,1272.12,0
123.85,1,19,2,56.0,1,244.0,1.0,3959.62,1
426.93,1,29,0,19.0,3,248.0,1.0,476.19,5
133.73,0,38,2,25.0,3,123.0,1.0,1872.22,5
222.39,1,41,2,49.0,1,73.0,1.0,3117.39,4
215.94,0,41,2,22.0,3,140.0,1.0,1841.69,5
6.3,1,8,1,80.0,2,283.0,5.0,7697.68,1
826.23,1,7,0,29.0,0,209.0,1.0,7580.59,1
,1,8,2,35.0,1,67.0,1.0,7936.91,2
131.46,1,5,1,67.0,2,258.0,1.0,6642.33,1
202.86,0,22,1,61.0,0,149.0,1.0,7642.25,6
268.39,1,24,0,26.0,3,171.0,1.0,136.74,5
194.85,1,17,2,23.0,3,130.0,4.0,319.84,3
137.35,0,34,3,40.0,0,220.0,1.0,12662.66,6
712.75,1,30,1,44.0,0,25.0,1.0,8126.06,6
353.82,1,25,0,42.0,0,143.0,1.0,705.75,0
507.25,1,42,1,45.0,2,143.0,1.0,5331.57,4
212.74,1,39,1,27.0,1,128.0,1.0,7645.47,4
364.42,1,7,0,51.0,1,146.0,1.0,8119.73,0
195.12,1,21,0,46.0,0,144.0,1.0,6101.15,0
230.61,1,33,1,80.0,2,204.0,1.0,2561.42,4
739.28,0,40,1,58.0,0,47.0,1.0,11905.64,6
390.35,0,29,0,64.0,0,61.0,1.0,7095.88,0
242.03,1,9,2,58.0,1,124.0,1.0,4382.73,2
242.39,0,35,0,18.0,3,271.0,1.0,1328.73,5
135.03,1,37,0,23.0,3,180.0,1.0,1278.0,5
83.5,1,9,1,61.0,4,91.0,5.0,1749.79,3
193.54,1,28,1,80.0,2,267.0,1.0,2929.51,1
617.36,1,18,3,29.0,1,61.0,1.0,8926.38,2
775.23,0,0,2,59.0,0,38.0,1.0,5977.59,2
266.57,1,12,0,72.0,2,100.0,1.0,7676.92,0
153.4,1,23,0,45.0,1,144.0,1.0,4657.7,0
946.94,1,5,1,53.0,2,251.0,1.0,5579.11,1
5.12,1,27,1,34.0,1,90.0,1.0,3293.01,4
119.11,1,11,0,57.0,1,131.0,1.0,7998.25,0
1096.7,1,7,2,24.0,3,147.0,1.0,1093.89,3
119.72,1,40,1,30.0,1,123.0,1.0,3435.34,4
107.4,1,41,2,58.0,0,32.0,1.0,344.07,4
115.92,1,33,0,53.0,2,57.0,1.0,3897.17,0
438.04,1,30,0,67.0,2,247.0,1.0,5358.95,1
677.29,1,15,2,27.0,1,287.0,1.0,627.79,1
296.0,1,19,1,35.0,0,248.0,1.0,7418.82,1
299.09,0,4,1,36.0,1,84.0,1.0,5615.26,2
461.52,0,10,1,24.0,3,44.0,1.0,1995.18,3
100.52,1,19,0,50.0,1,110.0,1.0,453.39,0
85.35,1,42,0,66.0,2,166.0,1.0,2173.76,0
79.76,1,33,1,39.0,1,170.0,1.0,6452.14,1
778.49,0,29,2,75.0,2,107.0,1.0,7713.67,4
386.38,1,31,2,42.0,1,135.0,1.0,5528.36,4
165.25,1,34,2,35.0,0,106.0,1.0,9939.94,6
14.29,1,20,0,34.0,1,150.0,1.0,7016.99,0
232.79,0,16,1,55.0,2,145.0,1.0,2661.3,2
1237.56,0,2,1,60.0,1,159.0,1.0,9410.17,2
92.29,1,0,1,54.0,1,115.0,1.0,2026.32,2
293.97,1,31,1,68.0,2,153.0,1.0,7371.85,4
136.32,1,24,2,19.0,3,113.0,1.0,264.83,5
251.06,1,7,2,36.0,0,34.0,1.0,10001.66,6
50.17,0,34,0,77.0,2,35.0,1.0,7752.14,0
21.4,1,14,1,34.0,1,258.0,1.0,9594.11,1
73.28,1,4,1,21.0,3,21.0,1.0,1329.41,3
70.23,1,22,0,38.0,0,260.0,1.0,11624.93,1
689.29,1,12,0,22.0,3,100.0,1.0,168.84,3
